Date,Exchange Rate,Log-Return,Absolute LR
4-Jan-71,3.6434,,
5-Jan-71,3.645,0.000439054,0.000439054
6-Jan-71,3.6439,-0.000301829,0.000301829
7-Jan-71,3.6433,-0.000164672,0.000164672
8-Jan-71,3.6424,-0.000247059,0.000247059
11-Jan-71,3.6414,-0.000274582,0.000274582
12-Jan-71,3.6416,5.49E-05,5.49224E-05
13-Jan-71,3.6402,-0.00038452,0.00038452
14-Jan-71,3.639,-0.000329707,0.000329707
15-Jan-71,3.6383,-0.000192379,0.000192379
18-Jan-71,3.6364,-0.000522358,0.000522358
19-Jan-71,3.6367,8.25E-05,8.24958E-05
20-Jan-71,3.6327,-0.001100504,0.001100504
21-Jan-71,3.6315,-0.000330387,0.000330387
22-Jan-71,3.6309,-0.000165235,0.000165235
25-Jan-71,3.6301,-0.000220355,0.000220355
26-Jan-71,3.6302,2.75E-05,2.75471E-05
27-Jan-71,3.6302,0,0
28-Jan-71,3.6307,0.000137724,0.000137724
29-Jan-71,3.6312,0.000137705,0.000137705
1-Feb-71,3.6323,0.000302884,0.000302884
2-Feb-71,3.6325,5.51E-05,0.00005506
3-Feb-71,3.6307,-0.000495649,0.000495649
4-Feb-71,3.6306,-2.75E-05,2.75433E-05
5-Feb-71,3.6309,8.26E-05,8.26276E-05
8-Feb-71,3.6312,8.26E-05,8.26207E-05
9-Feb-71,3.6303,-0.000247883,0.000247883
10-Feb-71,3.6315,0.000330497,0.000330497
11-Feb-71,3.6328,0.000357915,0.000357915
16-Feb-71,3.6306,-0.000605777,0.000605777
17-Feb-71,3.6303,-8.26E-05,8.26344E-05
18-Feb-71,3.6308,0.00013772,0.00013772
19-Feb-71,3.6304,-0.000110175,0.000110175
22-Feb-71,3.6302,-5.51E-05,5.50919E-05
23-Feb-71,3.6303,2.75E-05,2.75463E-05
24-Feb-71,3.6303,0,0
25-Feb-71,3.6309,0.000165262,0.000165262
26-Feb-71,3.6363,0.00148613,0.00148613
1-Mar-71,3.6333,-0.000825355,0.000825355
2-Mar-71,3.6318,-0.000412933,0.000412933
3-Mar-71,3.6299,-0.000523293,0.000523293
4-Mar-71,3.6322,0.000633426,0.000633426
5-Mar-71,3.6318,-0.000110132,0.000110132
8-Mar-71,3.6304,-0.000385558,0.000385558
9-Mar-71,3.6304,0,0
10-Mar-71,3.6307,8.26E-05,8.26321E-05
11-Mar-71,3.631,8.26E-05,8.26253E-05
12-Mar-71,3.6332,0.00060571,0.00060571
15-Mar-71,3.6331,-2.75E-05,2.75243E-05
16-Mar-71,3.6337,0.000165135,0.000165135
17-Mar-71,3.6304,-0.000908578,0.000908578
18-Mar-71,3.631,0.000165257,0.000165257
19-Mar-71,3.631,0,0
22-Mar-71,3.6309,-2.75E-05,0.000027541
23-Mar-71,3.6306,-8.26E-05,8.26276E-05
24-Mar-71,3.6303,-8.26E-05,8.26344E-05
25-Mar-71,3.6314,0.000302959,0.000302959
26-Mar-71,3.6311,-8.26E-05,8.26162E-05
29-Mar-71,3.6315,0.000110153,0.000110153
30-Mar-71,3.6304,-0.000302951,0.000302951
31-Mar-71,3.63,-0.000110187,0.000110187
1-Apr-71,3.63,0,0
2-Apr-71,3.6298,-5.51E-05,5.50979E-05
5-Apr-71,3.631,0.000330542,0.000330542
6-Apr-71,3.6304,-0.000165257,0.000165257
7-Apr-71,3.6324,0.000550752,0.000550752
8-Apr-71,3.6319,-0.00013766,0.00013766
9-Apr-71,3.6319,0,0
12-Apr-71,3.633,0.000302826,0.000302826
13-Apr-71,3.6355,0.0006879,0.0006879
14-Apr-71,3.6344,-0.000302618,0.000302618
15-Apr-71,3.6341,-8.25E-05,0.000082548
16-Apr-71,3.6361,0.000550191,0.000550191
19-Apr-71,3.6427,0.001813486,0.001813486
20-Apr-71,3.6403,-0.000659069,0.000659069
21-Apr-71,3.6366,-0.001016917,0.001016917
22-Apr-71,3.636,-0.000165003,0.000165003
23-Apr-71,3.6387,0.000742299,0.000742299
26-Apr-71,3.6377,-0.000274861,0.000274861
27-Apr-71,3.6356,-0.000577455,0.000577455
28-Apr-71,3.6311,-0.001238527,0.001238527
29-Apr-71,3.6323,0.000330424,0.000330424
30-Apr-71,3.6323,0,0
3-May-71,3.6304,-0.000523221,0.000523221
4-May-71,3.6299,-0.000137735,0.000137735
5-May-71,3.58,-0.013842299,0.013842299
6-May-71,3.5819,0.000530585,0.000530585
7-May-71,3.5693,-0.003523888,0.003523888
10-May-71,3.5386,-0.008638329,0.008638329
11-May-71,3.5697,0.00875039,0.00875039
12-May-71,3.5606,-0.002552489,0.002552489
13-May-71,3.5444,-0.004560177,0.004560177
14-May-71,3.5474,0.000846048,0.000846048
17-May-71,3.5468,-0.000169152,0.000169152
18-May-71,3.5461,-0.00019738,0.00019738
19-May-71,3.5311,-0.004238971,0.004238971
20-May-71,3.5069,-0.006876981,0.006876981
21-May-71,3.5014,-0.001569568,0.001569568
24-May-71,3.5082,0.001940197,0.001940197
25-May-71,3.5373,0.008260639,0.008260639
26-May-71,3.5467,0.002653869,0.002653869
27-May-71,3.5453,-0.000394811,0.000394811
28-May-71,3.5483,0.000845833,0.000845833
1-Jun-71,3.5685,0.005676724,0.005676724
2-Jun-71,3.5499,-0.005225905,0.005225905
3-Jun-71,3.5269,-0.006500136,0.006500136
4-Jun-71,3.5255,-0.000397028,0.000397028
7-Jun-71,3.5224,-0.000879695,0.000879695
8-Jun-71,3.518,-0.001249929,0.001249929
9-Jun-71,3.5119,-0.001735445,0.001735445
10-Jun-71,3.5099,-0.000569655,0.000569655
11-Jun-71,3.5078,-0.000598487,0.000598487
14-Jun-71,3.5075,-8.55E-05,8.55273E-05
15-Jun-71,3.5063,-0.000342183,0.000342183
16-Jun-71,3.5046,-0.000484959,0.000484959
17-Jun-71,3.5037,-0.000256838,0.000256838
18-Jun-71,3.5046,0.000256838,0.000256838
21-Jun-71,3.5047,2.85E-05,2.85335E-05
22-Jun-71,3.502,-0.000770691,0.000770691
23-Jun-71,3.495,-0.002000858,0.002000858
24-Jun-71,3.4972,0.000629273,0.000629273
25-Jun-71,3.5012,0.001143119,0.001143119
28-Jun-71,3.502,0.000228467,0.000228467
29-Jun-71,3.4992,-0.000799863,0.000799863
30-Jun-71,3.4971,-0.000600317,0.000600317
1-Jul-71,3.4986,0.000428835,0.000428835
2-Jul-71,3.5007,0.00060006,0.00060006
6-Jul-71,3.5011,0.000114256,0.000114256
7-Jul-71,3.4996,-0.000428529,0.000428529
8-Jul-71,3.5001,0.000142863,0.000142863
9-Jul-71,3.5003,5.71E-05,5.71396E-05
12-Jul-71,3.5006,8.57E-05,8.57033E-05
13-Jul-71,3.5,-0.000171414,0.000171414
14-Jul-71,3.4891,-0.003119145,0.003119145
15-Jul-71,3.4839,-0.001491467,0.001491467
16-Jul-71,3.4736,-0.002960836,0.002960836
19-Jul-71,3.4733,-8.64E-05,8.63695E-05
20-Jul-71,3.475,0.000489328,0.000489328
21-Jul-71,3.4686,-0.001843425,0.001843425
22-Jul-71,3.4651,-0.001009562,0.001009562
23-Jul-71,3.4646,-0.000144306,0.000144306
26-Jul-71,3.464,-0.000173195,0.000173195
27-Jul-71,3.4602,-0.0010976,0.0010976
28-Jul-71,3.4627,0.000722241,0.000722241
29-Jul-71,3.4597,-0.000866751,0.000866751
